,Position,Company,State
297,IT Executive,Diversey (Malaysia) Sdn Bhd,Selangor
298,Assistant Manager -  Cyber Security,Mamee-Double Decker (M) Sdn Bhd,Melaka
299,Senior Supply Chain Manager,Green Packet International Sdn Bhd,Penang
300,Civil Engineer,FLORENTINE SDN. BHD.,Selangor
301,Internship for Finance/Accounts,AGILE REAL ESTATE DEVELOPMENT (M) SDN. BHD.,Petaling Jaya
302,Assistant Solution Consultant,Commerz Trade Services Sdn Bhd,Perlis
303,Executive - Accounts,Awesomelink Sdn Bhd,Kuala Lumpur
304,Customer Service Executive (Freight / Logistic) x5,Palmgold Corporate Services S/B,Kuala Lumpur
305,HR Reporting & Quality Improvement Analyst (6-month contract),Hwa Tai Industries Berhad,Johor Bahru
306,TECHNICIAN,VSTECS BERHAD,Penang
307,Technology Analyst,TOPDEAL COMMUNICATIONS SDN BHD,Kuala Lumpur
308,"Manager, Finance",SEA GAMER MALL SDN. BHD.,Johor
309,Sale Assistant,Irama Canggih Sdn Bhd,Kuala Lumpur
310,AML & Compliance Executive,Capita Pte Ltd - Healthcare,Klang/Port Klang
311,ASSISTANT MANAGER-ACCOUNTS DEPARTMENT,Jora Jobs,Kuala Lumpur
312,"Manager, Property Management",Roland Manufacturing Malaysia Sdn Bhd,Selangor
313,Trade Finance LC Issuance Specialist,YBS AGRO PREMIERE SDN BHD,Kuala Lumpur
314,Senior MIS Executive,Valuedesign (Malaysia) Sdn Bhd,Selangor
315,Cashier,Nurraysa Global Sdn Bhd,Kuala Lumpur
316,Account Executive,KIARA SUSILA SDN BHD,Petaling Jaya
317,Production Executive,Berjaya Sompo Insurance Berhad,Shah Alam/Subang
318,Customer Service Executive (SPM Graduate welcomed)（Based in Philippines),Agilent Technologies LDA Malaysia Sdn. Bhd.,Shah Alam/Subang
319,Corporate Finance Manager,Palmgold Corporate Services S/B,Subang Jaya
320,Technician,Corporate Builders Sdn Bhd,Selangor
321,Sales Admin Assistant - Fresh Graduate / Junior,Delfi Marketing Sdn Bhd,Kuala Lumpur
322,"Corporate Sales Executive (Salary Up to RM6,000 + Performance Bonus)",Kotak Malaysia (KOM) Sdn. Bhd.,Kuala Lumpur
323,SEO Specialist,SOON HOE CHAN SDN. BHD.,Company Confidential
324,Store cum driver,LYL Land Sdn Bhd,Petaling Jaya
325,Recruitment Consultant (Based in KL; Singapore Market),IJEON GROUP SDN BHD,Kuala Lumpur
326,"SENIOR EXECUTIVE, FORWARDING",Global Enterprise International Malaysia Sdn Bhd (Member of Singtel Group),Kuala Lumpur
327,Accounting Internship,Innatech Communication Sdn Bhd,Company Confidential
328,SALES ASSISTANT CUM DRIVER,Lee Swee Construction & Trading Sdn Bhd,Petaling Jaya
329,Client Administrator,Foxcomasia Communications,Butterworth
330,Stockist Relation Manager,Prestar Marketing Sdn Bhd,Selangor
331,BUILDING MANAGER,Intelligent Money Sdn Bhd | iMoney.my,Bayan Lepas
332,"Executive / Senior Executive (Business Information), Actuarial",CompuMed Services Sdn Bhd,Company Confidential
333,Club Manager (Penang),BIOCEAN WOOD SDN. BHD.,Selangor
334,Estimator,Hive Marketing Sdn Bhd,Perak
335,Senior Product Executive,System Management Services Sdn. Bhd.,Petaling Jaya
336,Sales Executive,Top Glove Corporation Berhad,Kuala Lumpur
337,WAREHOUSE SUPERVISOR (HARDWARE),Roland Manufacturing Malaysia Sdn Bhd,Selangor - Others
338,HR cum Admin Executive,SEED AUTISM SERVICES,Perak
339,Internship for Hospitality/Tourism Management Students,Century Motolite Battery Sdn Bhd,Central
340,Project Coordinator (Contract),JD SPORTS FASHION SDN. BHD.,Selangor
341,Marketing (Executive),VSTECS BERHAD,Klang/Port Klang
342,"Technical Support Engineer/Executive (Klang Valley, Ipoh & Johor)",OZ Marketing Sdn Bhd,Cameron Highlands
343,Contract Executive (Q.S) Kajang,ASK Resources,Kuala Lumpur
344,Network Engineer,TDCX,Kuantan
345,General Manager,S8 AUTO,Cheras
346,"Intern, Commercial",TRUTH COMMUNICATIONS SDN. BHD.,Kuala Lumpur
347,MANAGER PROVIDER MANAGEMENT,Kinetics Systems Malaysia Sdn Bhd,Bayan Lepas
